lecture_file,source_folder,version,model_name,prompt_id,precision,recall,f1,claim_recall,context_precision,context_utilization,hallucination,faithfulness,version_label
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt14,42.7,64.5,48.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt14,42.7,64.5,48.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt13,44.3,61.7,47.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt13,44.3,61.7,47.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt4,46.4,59.9,49.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt4,46.4,59.9,49.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt3,49.2,55.6,46.9,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt3,49.2,55.6,46.9,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt2,46.7,60.8,47.6,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt2,46.7,60.8,47.6,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt5,51.8,56.6,49.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt5,51.8,56.6,49.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt12,45.3,57.1,46.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt12,45.3,57.1,46.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt15,44.4,55.9,43.6,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt15,44.4,55.9,43.6,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt10,42.1,55.2,43.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt10,42.1,55.2,43.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt9,44.3,55.0,45.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt9,44.3,55.0,45.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt7,42.9,54.6,42.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt7,42.9,54.6,42.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt6,57.5,45.6,44.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt6,57.5,45.6,44.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt1,41.7,52.8,41.9,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt1,41.7,52.8,41.9,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt8,43.8,58.5,45.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt8,43.8,58.5,45.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,gemma3_4b,prompt11,41.3,60.0,45.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,gemma3_4b,prompt11,41.3,60.0,45.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt14,35.0,38.9,18.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt14,35.0,38.9,18.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt13,37.0,56.7,31.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt13,37.0,56.7,31.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt4,43.8,51.9,31.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt4,43.8,51.9,31.4,0.0,0.0,0.0,0.0,0.0,v1_english
