model_name,model_parameters,lecture_title,lecture_topic,system_prompt_id,dialog_id,f1,precision,recall,claim_recall,context_precision,context_utilization,hallucination,faithfulness,noise_sensitivity,self_knowledge,version
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое метод k-ближайших соседей?,prompt14,dialog0391,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как выбрать количество соседей k в k-NN?,prompt14,dialog0392,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое евклидова метрика?,prompt14,dialog0393,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем суть наивного байесовского классификатора?,prompt14,dialog0394,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как работает сглаживание по Лапласу?,prompt14,dialog0395,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое манхэттенское расстояние?,prompt14,dialog0396,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как вычислить вероятность класса в Naive Bayes?,prompt14,dialog0397,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое расстояние Чебышёва?,prompt14,dialog0398,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как классифицировать письмо как спам в Naive Bayes?,prompt14,dialog0399,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем разница между k-NN и взвешенным k-NN?,prompt14,dialog0400,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Вычисли вероятность спама для слова 'приз' из примера.,prompt14,dialog0401,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли расстояние Евклида между (1,2) и (3,4).",prompt14,dialog0402,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В примере с погодой, вычисли F(да) для теста.",prompt14,dialog0403,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли P(да | пасмурно, холодно, влажно, да).",prompt14,dialog0404,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В спам-примере, вычисли P(win|спам) с Laplace.",prompt14,dialog0405,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое autograd?,prompt14,dialog0406,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое TensorFlow?,prompt14,dialog0407,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое Keras?,prompt14,dialog0408,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое over-fitting?,prompt14,dialog0409,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое SGD?,prompt14,dialog0410,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое Momentum в оптимизации?,prompt14,dialog0411,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое Adam?,prompt14,dialog0412,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое learning rate?,prompt14,dialog0413,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое метод Ньютона?,prompt14,dialog0414,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,Что такое RMSProp?,prompt14,dialog0415,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли шаг в SGD для L(w)=w^2, w=3, η=0.1.",prompt14,dialog0416,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли v_t в Momentum: γ=0.9, v_{t-1}=1, ∇L=2, η=0.1.",prompt14,dialog0417,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"В Adagrad, G_{t-1,ii}=4, g_t=2, η=0.1, ε=1e-8.",prompt14,dialog0418,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли learning rate decay: η0=0.1, t=5, T=10, linear.",prompt14,dialog0419,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,3. Инструменты обучения НС,"В Nesterov, вычисли ∇ в ω - γ v_{t-1}: γ=0.9, v=1, ∇=2.",prompt14,dialog0420,48.5,42.7,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое метод k-ближайших соседей?,prompt13,dialog0361,47.3,44.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
